entropy,n_range
2.4899188027116037,30
2.7683627076764576,40
2.9853793901805794,50
3.164388090671564,60
3.31647069566173,70
3.4486736797701014,80
3.565602343608253,90
3.670140316670773,100
3.7649942553779523,110
3.8515445060292914,120
3.9313467129042756,130
4.005163024637878,140
4.074011050372894,150
4.138452023100878,160
4.198839738937932,170
4.25589472532075,180
4.309882954346154,190
4.361016231510248,200
4.409758150085931,210
4.456155651542554,220
4.500574557200977,230
4.5431075477004965,240
4.5838939572985105,250
4.623026683711014,260
4.660773022171004,270
4.69712628293395,280
4.732092350411655,290
4.765991150783066,300
4.798780701271637,310
4.830523813129344,320
4.861232816801732,330
4.89106443349299,340
4.920006081652594,350
4.948165365982872,360
4.97555985014572,370
5.002226471275496,380
5.028129529893918,390
5.053438695326746,400
5.078140852125347,410
5.102242352347632,420
5.12568504093335,430
5.148665895345914,440
5.171180498733232,450
5.193135566673591,460
5.21461486028339,470
5.235670002488879,480
5.256255548299363,490
5.276437700431212,500
5.296253477646563,510
5.315663254126158,520
5.334657583884427,530
5.3533860476863,540
5.371686967580189,550
5.389711769797355,560
5.407418961972889,570
5.42479596864021,580
5.441856855351148,590
5.458649262545055,600
5.475182374794311,610
5.491426662724434,620
5.507386206829102,630
5.523169473048201,640
5.538649955394531,650
5.553894966759656,660
5.569007613583998,670
5.583745280586948,680
5.598319558831317,690
5.612734892256578,700
5.626875890759289,710
5.64088467749829,720
5.65463105694289,730
5.668259733508162,740
5.681653421604561,750
5.694933692597367,760
5.707966650323246,770
5.72086266153607,780
5.733607721038586,790
5.746217227060924,800
5.758591195803252,810
5.770852216912655,820
5.782980043514255,830
5.794915940707711,840
5.806753819363159,850
5.8184354059776,860
5.8299935858201035,870
5.84144243780912,880
5.852717037313987,890
5.863884968070133,900
5.8749477540088435,910
5.885845801048223,920
5.896659682067687,930
5.9073537526581,940
5.917925002295206,950
5.9284290760527245,960
5.93874313302607,970
5.94898668449996,980
5.959146550405243,990
5.969168692534732,1000
5.979149711224573,1010
5.988999680747818,1020
5.998712642434535,1030
6.008396798037541,1040
6.017931072687676,1050
6.027420790030519,1060
6.036789114355743,1070
6.046104170318577,1080
6.055310220865168,1090
6.064424648724263,1100
6.073489581242066,1110
6.082432941445324,1120
6.091318407362262,1130
6.100130659086274,1140
6.108855453390159,1150
6.117494041523538,1160
6.1261082910063385,1170
6.134582138359367,1180
6.143027740270697,1190
6.151363776893813,1200
6.159659187492117,1210
6.167896181078793,1220
6.176031971193729,1230
6.184122232076403,1240
6.192174718627813,1250
6.200123571163596,1260
6.208000110233073,1270
6.215863672414674,1280
6.223598162436602,1290
6.23136894453528,1300
6.239006615122254,1310
6.246593271979812,1320
6.254163552735707,1330
6.261700210523147,1340
6.269041089189687,1350
6.276440288727936,1360
6.283774053175957,1370
6.291026875973159,1380
6.298241304549018,1390
6.305367602746764,1400
6.31252549242645,1410
6.319536083318239,1420
6.326541543056405,1430
6.333588076122282,1440
6.340429724581561,1450
6.347306640615459,1460
6.354120967120432,1470
6.3608929757940595,1480
6.36764118901311,1490
6.374290688279491,1500
6.380968735459383,1510
6.387593405526644,1520
6.394106752812709,1530
6.4006351706589495,1540
6.407108038717613,1550
6.413490862159802,1560
6.4199114230026275,1570
6.426221518507589,1580
6.432541094601158,1590
6.43879176917288,1600
6.445016069423248,1610
6.451190014740915,1620
6.457354038659185,1630
6.463483716444453,1640
6.469541288591575,1650
